model,batch_size,device,num_devices,num_devices_per_node,disable_ib,disable_nccl_p2p,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
ResNet50,32,GPU,2,1,0,1,105.64590643017004,2.3233997974450222,211.2918128603401,4.6467995948900445
ResNet50,32,GPU,1,1,0,1,119.36326828900272,0.9189567296443075,119.36326828900272,0.9189567296443075
ResNet50,32,GPU,4,1,1,0,96.35321345616997,3.3701903880703696,385.41285382467987,13.480761552281479
ResNet50,32,GPU,2,1,0,1,106.34709555558227,2.2120397633251114,212.69419111116454,4.424079526650223
ResNet50,32,GPU,1,1,0,1,119.50754682473546,0.7597651924574467,119.50754682473546,0.7597651924574467
ResNet50,32,GPU,4,1,1,0,95.28584822716081,3.764696134045746,381.14339290864325,15.058784536182984
ResNet50,32,GPU,1,1,0,1,119.37423041503075,1.0486603810640245,119.37423041503075,1.0486603810640245
ResNet50,32,GPU,2,1,1,1,100.98203774103344,1.6040964046002428,201.96407548206687,3.2081928092004857
ResNet50,32,GPU,4,1,1,1,94.10090885049252,3.0169322934373186,376.40363540197006,12.067729173749274
ResNet50,32,GPU,1,1,0,1,120.83578463965077,0.9495800588309159,120.83578463965077,0.9495800588309159
ResNet50,32,GPU,2,1,1,1,100.93054803570446,2.669754912031108,201.86109607140892,5.339509824062216
ResNet50,32,GPU,4,1,1,1,96.25051875175336,4.830241920594732,385.00207500701345,19.320967682378928
ResNet50,32,GPU,1,1,1,1,120.68157733648611,0.9803643614520889,120.68157733648611,0.9803643614520889
ResNet50,32,GPU,2,1,1,1,100.21244012920825,2.8671905994200046,200.4248802584165,5.734381198840009
ResNet50,32,GPU,1,1,1,1,119.2988101633787,1.0604492690884988,119.2988101633787,1.0604492690884988
ResNet50,32,GPU,4,1,1,1,95.84590637706238,1.9784594206684525,383.3836255082495,7.91383768267381
ResNet50,32,GPU,2,1,1,1,101.19441206388203,2.5641673632678508,202.38882412776405,5.1283347265357015
ResNet50,32,GPU,1,1,1,1,119.49669180711342,1.0931878213411803,119.49669180711342,1.0931878213411803
ResNet50,32,GPU,4,1,1,1,95.91819610505746,4.123884063033855,383.67278442022985,16.49553625213542
ResNet50,32,GPU,2,1,1,1,100.7174756954433,2.070665294775182,201.4349513908866,4.141330589550364
ResNet50,32,GPU,1,1,1,1,120.74943233031858,0.942477217536411,120.74943233031858,0.942477217536411
ResNet50,32,GPU,4,1,1,1,95.64491027205196,3.0693550372890837,382.57964108820784,12.277420149156335
ResNet50,32,GPU,1,1,1,1,120.65596834463445,0.9272449371183745,120.65596834463445,0.9272449371183745
ResNet50,32,GPU,16,1,0,0,100.84064460852234,3.152691998923892,1613.4503137363574,50.44307198278227
ResNet50,32,GPU,16,1,0,0,100.17941588544178,3.586431170256816,1602.8706541670686,57.382898724109054
ResNet50,32,GPU,16,1,0,0,101.67887951156808,3.4304702221145686,1626.8620721850893,54.8875235538331
ResNet50,32,GPU,16,1,0,0,100.84397818025256,4.258162590582915,1613.503650884041,68.13060144932663
ResNet50,32,GPU,16,1,0,0,99.61756332821264,2.6679550029770054,1593.8810132514022,42.687280047632086
ResNet50,32,GPU,16,1,1,0,92.58574196188121,4.100260177356172,1481.3718713900994,65.60416283769875
ResNet50,32,GPU,16,1,1,0,92.1939870394533,3.142228061808473,1475.1037926312529,50.275648988935565
ResNet50,32,GPU,16,1,1,0,92.28501890350006,4.1582418089847035,1476.560302456001,66.53186894375526
ResNet50,32,GPU,16,1,1,0,92.10732444773146,3.1996046575744077,1473.7171911637033,51.19367452119052
ResNet50,32,GPU,16,1,1,0,93.01123086420537,4.5600570874679995,1488.179693827286,72.96091339948799
ResNet50,32,GPU,16,1,0,1,100.14646232872641,3.0013128041202575,1602.3433972596226,48.02100486592412
ResNet50,32,GPU,16,1,0,1,100.22232646590922,4.89571788162422,1603.5572234545475,78.33148610598752
ResNet50,32,GPU,16,1,0,1,100.1380405889982,3.1230554793111276,1602.208649423971,49.96888766897804
ResNet50,32,GPU,16,1,0,1,100.0896801688833,1.9281326753371357,1601.4348827021329,30.85012280539417
ResNet50,32,GPU,16,1,0,1,98.11928381901316,3.1085179531851415,1569.9085411042106,49.73628725096226
ResNet50,32,GPU,16,1,1,1,92.28332549428553,4.126731054216484,1476.5332079085686,66.02769686746375
ResNet50,32,GPU,16,1,1,1,92.49393872851479,3.3428208962304904,1479.9030196562367,53.485134339687846
ResNet50,32,GPU,16,1,1,1,91.71499062465621,3.7630192602477472,1467.4398499944994,60.208308163963956
ResNet50,32,GPU,16,1,1,1,92.37294549318727,3.8685434434091643,1477.9671278909964,61.89669509454663
ResNet50,32,GPU,16,1,1,1,92.79645086405547,4.109852791457002,1484.7432138248876,65.75764466331204
