model,batch_size,device,num_devices,disable_nccl_p2p,disable_ib,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,8,0,0,109.006132731,1.93235001274,872.049061844,15.4588001019
resnet50,32,GPU,16,0,0,106.96489359,1.80913864281,1711.43829744,28.946218285
resnet50,32,GPU,16,0,0,98.7214301133,1.8751909666,1579.54288181,30.0030554656
resnet50,32,GPU,16,0,0,109.86975757,1.31745053542,1757.91612112,21.0792085667
resnet50,8,GPU,8,0,0,58.421971084,2.06674083116,467.375768672,16.5339266493
resnet50,8,GPU,8,0,0,72.9042132148,1.22600503193,583.233705718,9.80804025543
resnet50,8,GPU,8,0,0,69.0013646778,1.40878057441,552.010917423,11.2702445953
resnet50,8,GPU,8,0,0,67.4787150686,2.64905421126,539.829720549,21.19243369
resnet50,8,GPU,8,0,0,62.5578109069,4.78300340584,500.462487255,38.2640272467
resnet50,8,GPU,8,0,0,61.4832095248,2.42167999308,491.865676198,19.3734399447
resnet50,8,GPU,8,0,0,59.0215417731,3.92561854847,472.172334185,31.4049483877
resnet50,8,GPU,8,0,0,54.9501461685,1.70689667714,439.601169348,13.6551734171
resnet50,8,GPU,8,0,0,73.4078302636,2.05102329439,587.262642109,16.4081863552
resnet50,8,GPU,8,0,0,69.9385211123,1.12664870034,559.508168899,9.01318960271
resnet50,8,GPU,4,0,0,70.6411687649,4.24912003064,282.56467506,16.9964801226
resnet50,8,GPU,1,0,0,150.75561763,13.8129101187,150.75561763,13.8129101187
resnet50,8,GPU,4,0,0,70.926291853,5.56533566652,283.705167412,22.2613426661
resnet50,8,GPU,1,0,0,150.657316979,12.6665346361,150.657316979,12.6665346361
resnet50,8,GPU,1,0,0,149.175286145,11.8897862098,149.175286145,11.8897862098
resnet50,8,GPU,4,0,0,84.8782807205,4.58213554077,339.513122882,18.3285421631
resnet50,8,GPU,1,0,0,152.060289341,13.5839398792,152.060289341,13.5839398792
resnet50,8,GPU,4,0,0,85.6137940173,2.94657335199,342.455176069,11.786293408
resnet50,8,GPU,1,0,0,133.97830481,21.9077859513,133.97830481,21.9077859513
resnet50,8,GPU,1,0,0,150.886958081,21.8187249849,150.886958081,21.8187249849
resnet50,8,GPU,4,0,0,67.2648317882,2.7421010764,269.059327153,10.9684043056
resnet50,8,GPU,1,0,0,150.259587045,14.0232339124,150.259587045,14.0232339124
resnet50,8,GPU,4,0,0,79.4151618655,1.75417481505,317.660647462,7.01669926018
resnet50,8,GPU,1,0,0,147.738832487,16.4412463511,147.738832487,16.4412463511
resnet50,8,GPU,4,0,0,88.9176008624,4.98000016623,355.670403449,19.9200006649
resnet50,8,GPU,1,0,0,149.946482099,16.7833009109,149.946482099,16.7833009109
resnet50,8,GPU,1,0,0,150.566770887,9.97447518705,150.566770887,9.97447518705
resnet50,8,GPU,4,0,0,75.9878254546,3.38703829636,303.951301818,13.5481531854
resnet50,8,GPU,4,0,0,91.49777966,4.44058635491,365.99111864,17.7623454197
resnet50,8,GPU,4,0,0,76.9055269131,4.44427322578,307.622107652,17.7770929031
resnet50,8,GPU,16,0,0,53.2657844352,1.74882205187,852.252550963,27.98115283
resnet50,8,GPU,16,0,0,51.3949270592,1.40660357902,822.318832947,22.5056572643
resnet50,8,GPU,16,0,0,60.4876018496,1.4326851343,967.801629593,22.9229621489
resnet50,8,GPU,16,0,0,61.7192106875,1.26539294921,987.507371,20.2462871873
resnet50,8,GPU,16,0,0,58.6568954918,1.22336519169,938.510327869,19.5738430671
resnet50,8,GPU,16,0,0,56.5721825265,2.14925081488,905.154920423,34.3880130381
resnet50,8,GPU,16,0,0,55.4229626251,2.11525810552,886.767402001,33.8441296884
resnet50,8,GPU,16,0,0,58.2152091178,2.94576795258,931.443345885,47.1322872412
resnet50,8,GPU,16,0,0,53.4114295792,1.95547879551,854.582873268,31.2876607282
resnet50,8,GPU,16,0,0,55.7078133573,1.7042679612,891.325013717,27.2682873791
resnet50,16,GPU,16,0,0,83.6465657802,2.10163728943,1338.34505248,33.6261966309
resnet50,16,GPU,16,0,0,77.5214320843,1.98523528554,1240.34291335,31.7637645687
resnet50,16,GPU,16,0,0,82.5787075623,2.52081242546,1321.259321,40.3329988074
resnet50,16,GPU,16,0,0,89.7883008276,0.750626792705,1436.61281324,12.0100286833
resnet50,16,GPU,16,0,0,89.0647179262,2.34089765512,1425.03548682,37.4543624819
resnet50,16,GPU,16,0,0,90.9163137142,1.17928217174,1454.66101943,18.8685147479
resnet50,16,GPU,16,0,0,88.2408767559,0.850983233501,1411.85402809,13.615731736
resnet50,16,GPU,16,0,0,93.6736262754,1.14641446294,1498.77802041,18.342631407
resnet50,64,GPU,16,0,0,117.201074071,1.30396675855,1875.21718514,20.8634681367
resnet50,64,GPU,16,0,0,118.886903106,0.639860794129,1902.19044969,10.2377727061
resnet50,64,GPU,16,0,0,118.344479707,1.16274731143,1893.51167531,18.6039569828
resnet50,64,GPU,16,0,0,112.674545807,0.84879475792,1802.79273291,13.5807161267
resnet50,64,GPU,16,0,0,116.644352175,0.9720138325,1866.30963481,15.55222132
resnet50,64,GPU,16,0,0,118.702987459,0.707802405546,1899.24779935,11.3248384887
resnet50,64,GPU,16,0,0,115.731332839,1.33859099265,1851.70132542,21.4174558825
resnet50,64,GPU,16,0,0,119.925718786,0.999825623651,1918.81150058,15.9972099784
resnet50,64,GPU,16,0,0,114.735975329,1.78607618276,1835.77560527,28.5772189241
resnet50,64,GPU,16,0,0,115.857582259,1.02334877703,1853.72131614,16.3735804325
resnet50,64,GPU,8,0,0,112.638366026,0.911039862577,901.106928207,7.28831890061
resnet50,64,GPU,4,0,0,172.741374417,2.02270644047,690.965497668,8.09082576189
resnet50,64,GPU,1,0,0,198.95156265,0.550425950104,198.95156265,0.550425950104
resnet50,64,GPU,4,0,0,176.887983807,1.38400792976,707.551935227,5.53603171906
resnet50,64,GPU,8,0,0,117.498744647,1.01772849434,939.989957173,8.14182795469
resnet50,64,GPU,1,0,0,198.79909185,0.623264181248,198.79909185,0.623264181248
resnet50,64,GPU,4,0,0,180.495298592,1.55969718188,721.981194369,6.23878872753
resnet50,64,GPU,1,0,0,198.247904509,0.271664633965,198.247904509,0.271664633965
resnet50,64,GPU,8,0,0,118.507830332,1.08425373569,948.062642653,8.67402988549
resnet50,64,GPU,4,0,0,171.848865025,1.57293390646,687.395460101,6.29173562586
resnet50,64,GPU,1,0,0,198.103947692,0.367853314774,198.103947692,0.367853314774
resnet50,64,GPU,8,0,0,120.074165615,0.642786729702,960.593324923,5.14229383761
resnet50,64,GPU,1,0,0,198.036378848,0.29992078497,198.036378848,0.29992078497
resnet50,64,GPU,4,0,0,177.314534229,1.6678951856,709.258136915,6.6715807424
resnet50,64,GPU,1,0,0,197.637048566,0.468942766086,197.637048566,0.468942766086
resnet50,64,GPU,4,0,0,169.100497678,1.88359313652,676.401990713,7.53437254608
resnet50,64,GPU,8,0,0,116.834787359,0.529053618127,934.678298874,4.23242894502
resnet50,64,GPU,1,0,0,197.792104916,0.422575843368,197.792104916,0.422575843368
resnet50,64,GPU,4,0,0,180.240798518,1.8782084028,720.963194072,7.51283361121
resnet50,64,GPU,1,0,0,198.042673959,0.311250313602,198.042673959,0.311250313602
resnet50,64,GPU,8,0,0,114.16568943,0.704340917322,913.32551544,5.63472733858
resnet50,64,GPU,4,0,0,179.738535212,1.61824034119,718.954140847,6.47296136474
resnet50,64,GPU,1,0,0,198.114212188,0.299219718215,198.114212188,0.299219718215
resnet50,64,GPU,4,0,0,180.975701288,0.816890880792,723.90280515,3.26756352317
resnet50,64,GPU,8,0,0,118.747499599,1.13368014374,949.979996794,9.06944114993
resnet50,64,GPU,1,0,0,197.587930155,0.19957182687,197.587930155,0.19957182687
resnet50,64,GPU,4,0,0,183.306937898,1.20659770753,733.227751594,4.82639083011
resnet50,64,GPU,8,0,0,117.089775447,0.967517160235,936.718203574,7.74013728188
resnet50,64,GPU,8,0,0,119.131035075,0.693845609549,953.048280601,5.55076487639
resnet50,64,GPU,8,0,0,116.056234803,1.04766898249,928.449878421,8.38135185989
resnet50,16,GPU,4,0,0,93.9572800954,1.73627039456,375.829120382,6.94508157824
resnet50,16,GPU,4,0,0,90.2403629927,1.84055522168,360.961451971,7.36222088674
resnet50,16,GPU,8,0,0,106.711873206,2.34258554575,853.694985648,18.740684366
resnet50,16,GPU,4,0,0,92.2135043047,1.84478814731,368.854017219,7.37915258926
resnet50,16,GPU,8,0,0,117.272837869,5.80151452713,938.182702951,46.4121162171
resnet50,16,GPU,4,0,0,93.815303501,0.801266631745,375.261214004,3.20506652698
resnet50,16,GPU,8,0,0,100.34655911,4.28885292653,802.772472879,34.3108234122
resnet50,16,GPU,4,0,0,91.4086782487,2.74214964723,365.634712995,10.9685985889
resnet50,16,GPU,8,0,0,117.751135321,2.3920202427,942.009082565,19.1361619416
resnet50,16,GPU,8,0,0,113.074746026,2.01514704702,904.59796821,16.1211763761
resnet50,16,GPU,4,0,0,90.2820196416,1.38969922547,361.128078566,5.55879690189
resnet50,16,GPU,8,0,0,119.64850364,3.5677867881,957.188029123,28.5422943048
resnet50,16,GPU,4,0,0,94.8230205288,1.12713896614,379.292082115,4.50855586454
resnet50,16,GPU,8,0,0,103.426116331,6.09752127881,827.408930645,48.7801702305
resnet50,16,GPU,4,0,0,97.5548579597,1.2041251398,390.219431839,4.8165005592
resnet50,16,GPU,8,0,0,119.576226351,2.43444187259,956.609810809,19.4755349807
resnet50,16,GPU,4,0,0,88.2871981864,1.11939841681,353.148792745,4.47759366725
resnet50,16,GPU,8,0,0,102.500446638,2.37503543855,820.003573106,19.0002835084
resnet50,16,GPU,4,0,0,87.989802318,1.80331641018,351.959209272,7.21326564074
resnet50,16,GPU,8,0,0,119.933045845,2.68855607404,959.464366761,21.5084485923
resnet50,16,GPU,1,0,0,185.827216335,0.306357661706,185.827216335,0.306357661706
resnet50,16,GPU,1,0,0,183.413121311,0.20428645812,183.413121311,0.20428645812
resnet50,16,GPU,1,0,0,184.816848703,0.419365733896,184.816848703,0.419365733896
resnet50,16,GPU,1,0,0,183.528683085,0.347960307843,183.528683085,0.347960307843
resnet50,16,GPU,1,0,0,183.876787082,0.406859272167,183.876787082,0.406859272167
resnet50,16,GPU,1,0,0,183.429871544,0.206554912281,183.429871544,0.206554912281
resnet50,16,GPU,1,0,0,183.895907045,0.450022568064,183.895907045,0.450022568064
resnet50,16,GPU,1,0,0,183.13327816,0.309730946688,183.13327816,0.309730946688
resnet50,16,GPU,1,0,0,183.261017651,0.140999853653,183.261017651,0.140999853653
resnet50,16,GPU,1,0,0,182.968067652,0.153456145669,182.968067652,0.153456145669
resnet50,32,GPU,2,0,0,172.294068613,2.27238631419,344.588137226,4.54477262837
resnet50,32,GPU,2,0,0,172.615636915,0.66291896441,345.23127383,1.32583792882
resnet50,32,GPU,2,0,0,170.354963049,1.23648720922,340.709926099,2.47297441844
resnet50,32,GPU,2,0,0,171.443887687,0.901473900649,342.887775373,1.8029478013
resnet50,32,GPU,2,0,0,168.724716562,1.22897607563,337.449433125,2.45795215125
resnet50,32,GPU,2,0,0,170.073847547,0.701185933332,340.147695093,1.40237186666
resnet50,32,GPU,2,0,0,168.39827712,4.07178436816,336.796554241,8.14356873632
resnet50,32,GPU,2,0,0,168.250387036,3.31355300929,336.500774073,6.62710601858
resnet50,32,GPU,2,0,0,169.969696063,3.3789777437,339.939392127,6.75795548739
resnet50,32,GPU,2,0,0,168.210544383,4.86267190429,336.421088767,9.72534380857
resnet50,64,GPU,2,0,0,185.964102573,0.797459804319,371.928205146,1.59491960864
resnet50,64,GPU,2,0,0,184.510410008,0.794395652033,369.020820015,1.58879130407
resnet50,64,GPU,2,0,0,183.306182777,0.893756677504,366.612365554,1.78751335501
resnet50,64,GPU,2,0,0,183.831704,1.42122074759,367.663408,2.84244149517
resnet50,64,GPU,2,0,0,183.614206826,0.727401202079,367.228413652,1.45480240416
resnet50,64,GPU,2,0,0,183.162203727,2.14187487743,366.324407454,4.28374975486
resnet50,64,GPU,2,0,0,184.013023353,0.767677509138,368.026046706,1.53535501828
resnet50,64,GPU,2,0,0,182.687660689,2.16719633169,365.375321378,4.33439266338
resnet50,64,GPU,2,0,0,183.359503479,1.17397015442,366.719006958,2.34794030884
resnet50,64,GPU,2,0,0,183.043924267,1.40658554307,366.087848534,2.81317108614
resnet50,16,GPU,2,0,0,144.89144958,2.94151391419,289.782899161,5.88302782837
resnet50,16,GPU,2,0,0,143.664866887,2.59045987071,287.329733773,5.18091974143
resnet50,16,GPU,2,0,0,144.398090605,4.40032757085,288.79618121,8.8006551417
resnet50,16,GPU,2,0,0,144.440734646,4.21004492353,288.881469292,8.42008984705
resnet50,16,GPU,2,0,0,144.616696445,4.53732069183,289.233392891,9.07464138366
resnet50,16,GPU,2,0,0,145.304659529,1.60653830748,290.609319058,3.21307661495
resnet50,16,GPU,2,0,0,144.279395899,1.48321246078,288.558791798,2.96642492156
resnet50,16,GPU,2,0,0,144.989377308,2.05106140729,289.978754616,4.10212281458
resnet50,16,GPU,2,0,0,144.549670244,2.33018654254,289.099340489,4.66037308507
resnet50,16,GPU,2,0,0,144.738449599,1.84161244871,289.476899199,3.68322489741
resnet50,8,GPU,2,0,0,91.6079493681,1.84971580522,183.215898736,3.69943161044
resnet50,8,GPU,2,0,0,92.3443872477,3.63516387855,184.688774495,7.2703277571
resnet50,8,GPU,2,0,0,94.3494895143,7.36894410031,188.698979029,14.7378882006
resnet50,8,GPU,2,0,0,92.2625436912,6.04500474819,184.525087382,12.0900094964
resnet50,8,GPU,2,0,0,93.9357901299,2.47209511884,187.87158026,4.94419023769
resnet50,8,GPU,2,0,0,92.3305638482,3.92322221657,184.661127696,7.84644443313
resnet50,8,GPU,2,0,0,89.1139712522,1.85094769001,178.227942504,3.70189538003
resnet50,8,GPU,2,0,0,90.0534578731,3.9582508663,180.106915746,7.91650173261
resnet50,8,GPU,2,0,0,90.5992599582,6.18733112042,181.198519916,12.3746622408
resnet50,8,GPU,2,0,0,91.8121276655,6.33877191391,183.624255331,12.6775438278
