model,batch_size,device,num_devices,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,8,GPU,8,73.4078302636,2.05102329439,587.262642109,16.4081863552
resnet50,8,GPU,8,69.9385211123,1.12664870034,559.508168899,9.01318960271
resnet50,8,GPU,4,70.6411687649,4.24912003064,282.56467506,16.9964801226
resnet50,8,GPU,1,150.75561763,13.8129101187,150.75561763,13.8129101187
resnet50,8,GPU,4,70.926291853,5.56533566652,283.705167412,22.2613426661
resnet50,8,GPU,1,150.657316979,12.6665346361,150.657316979,12.6665346361
resnet50,8,GPU,1,149.175286145,11.8897862098,149.175286145,11.8897862098
resnet50,8,GPU,4,84.8782807205,4.58213554077,339.513122882,18.3285421631
resnet50,8,GPU,1,152.060289341,13.5839398792,152.060289341,13.5839398792
resnet50,8,GPU,4,85.6137940173,2.94657335199,342.455176069,11.786293408
resnet50,8,GPU,1,133.97830481,21.9077859513,133.97830481,21.9077859513
resnet50,8,GPU,1,150.886958081,21.8187249849,150.886958081,21.8187249849
resnet50,8,GPU,4,67.2648317882,2.7421010764,269.059327153,10.9684043056
resnet50,8,GPU,1,150.259587045,14.0232339124,150.259587045,14.0232339124
resnet50,8,GPU,4,79.4151618655,1.75417481505,317.660647462,7.01669926018
resnet50,8,GPU,1,147.738832487,16.4412463511,147.738832487,16.4412463511
resnet50,8,GPU,4,88.9176008624,4.98000016623,355.670403449,19.9200006649
resnet50,8,GPU,1,149.946482099,16.7833009109,149.946482099,16.7833009109
resnet50,8,GPU,1,150.566770887,9.97447518705,150.566770887,9.97447518705
resnet50,8,GPU,4,75.9878254546,3.38703829636,303.951301818,13.5481531854
resnet50,8,GPU,4,91.49777966,4.44058635491,365.99111864,17.7623454197
resnet50,8,GPU,4,76.9055269131,4.44427322578,307.622107652,17.7770929031
resnet50,8,GPU,16,53.2657844352,1.74882205187,852.252550963,27.98115283
resnet50,8,GPU,16,51.3949270592,1.40660357902,822.318832947,22.5056572643
resnet50,8,GPU,16,60.4876018496,1.4326851343,967.801629593,22.9229621489
resnet50,8,GPU,16,61.7192106875,1.26539294921,987.507371,20.2462871873
resnet50,8,GPU,16,58.6568954918,1.22336519169,938.510327869,19.5738430671
resnet50,8,GPU,16,56.5721825265,2.14925081488,905.154920423,34.3880130381
resnet50,8,GPU,16,55.4229626251,2.11525810552,886.767402001,33.8441296884
resnet50,8,GPU,16,58.2152091178,2.94576795258,931.443345885,47.1322872412
resnet50,8,GPU,16,53.4114295792,1.95547879551,854.582873268,31.2876607282
resnet50,8,GPU,16,55.7078133573,1.7042679612,891.325013717,27.2682873791
resnet50,16,GPU,16,83.6465657802,2.10163728943,1338.34505248,33.6261966309
resnet50,16,GPU,16,77.5214320843,1.98523528554,1240.34291335,31.7637645687
resnet50,16,GPU,16,82.5787075623,2.52081242546,1321.259321,40.3329988074
resnet50,16,GPU,16,89.7883008276,0.750626792705,1436.61281324,12.0100286833
resnet50,16,GPU,16,89.0647179262,2.34089765512,1425.03548682,37.4543624819
resnet50,16,GPU,16,90.9163137142,1.17928217174,1454.66101943,18.8685147479
resnet50,16,GPU,16,88.2408767559,0.850983233501,1411.85402809,13.615731736
resnet50,16,GPU,16,93.6736262754,1.14641446294,1498.77802041,18.342631407
resnet50,64,GPU,16,117.201074071,1.30396675855,1875.21718514,20.8634681367
resnet50,64,GPU,16,118.886903106,0.639860794129,1902.19044969,10.2377727061
resnet50,64,GPU,16,118.344479707,1.16274731143,1893.51167531,18.6039569828
resnet50,64,GPU,16,112.674545807,0.84879475792,1802.79273291,13.5807161267
resnet50,64,GPU,16,116.644352175,0.9720138325,1866.30963481,15.55222132
resnet50,64,GPU,16,118.702987459,0.707802405546,1899.24779935,11.3248384887
resnet50,64,GPU,16,115.731332839,1.33859099265,1851.70132542,21.4174558825
resnet50,64,GPU,16,119.925718786,0.999825623651,1918.81150058,15.9972099784
resnet50,64,GPU,16,114.735975329,1.78607618276,1835.77560527,28.5772189241
resnet50,64,GPU,16,115.857582259,1.02334877703,1853.72131614,16.3735804325
resnet50,64,GPU,8,112.638366026,0.911039862577,901.106928207,7.28831890061
resnet50,64,GPU,4,172.741374417,2.02270644047,690.965497668,8.09082576189
resnet50,64,GPU,1,198.95156265,0.550425950104,198.95156265,0.550425950104
resnet50,64,GPU,4,176.887983807,1.38400792976,707.551935227,5.53603171906
resnet50,64,GPU,8,117.498744647,1.01772849434,939.989957173,8.14182795469
resnet50,64,GPU,1,198.79909185,0.623264181248,198.79909185,0.623264181248
resnet50,64,GPU,4,180.495298592,1.55969718188,721.981194369,6.23878872753
resnet50,64,GPU,1,198.247904509,0.271664633965,198.247904509,0.271664633965
resnet50,64,GPU,8,118.507830332,1.08425373569,948.062642653,8.67402988549
resnet50,64,GPU,4,171.848865025,1.57293390646,687.395460101,6.29173562586
resnet50,64,GPU,1,198.103947692,0.367853314774,198.103947692,0.367853314774
resnet50,64,GPU,8,120.074165615,0.642786729702,960.593324923,5.14229383761
resnet50,64,GPU,1,198.036378848,0.29992078497,198.036378848,0.29992078497
resnet50,64,GPU,4,177.314534229,1.6678951856,709.258136915,6.6715807424
resnet50,64,GPU,1,197.637048566,0.468942766086,197.637048566,0.468942766086
resnet50,64,GPU,4,169.100497678,1.88359313652,676.401990713,7.53437254608
resnet50,64,GPU,8,116.834787359,0.529053618127,934.678298874,4.23242894502
resnet50,64,GPU,1,197.792104916,0.422575843368,197.792104916,0.422575843368
resnet50,64,GPU,4,180.240798518,1.8782084028,720.963194072,7.51283361121
resnet50,64,GPU,1,198.042673959,0.311250313602,198.042673959,0.311250313602
resnet50,64,GPU,8,114.16568943,0.704340917322,913.32551544,5.63472733858
resnet50,64,GPU,4,179.738535212,1.61824034119,718.954140847,6.47296136474
resnet50,64,GPU,1,198.114212188,0.299219718215,198.114212188,0.299219718215
resnet50,64,GPU,4,180.975701288,0.816890880792,723.90280515,3.26756352317
resnet50,64,GPU,8,118.747499599,1.13368014374,949.979996794,9.06944114993
resnet50,64,GPU,1,197.587930155,0.19957182687,197.587930155,0.19957182687
resnet50,64,GPU,4,183.306937898,1.20659770753,733.227751594,4.82639083011
resnet50,64,GPU,8,117.089775447,0.967517160235,936.718203574,7.74013728188
resnet50,64,GPU,8,119.131035075,0.693845609549,953.048280601,5.55076487639
resnet50,64,GPU,8,116.056234803,1.04766898249,928.449878421,8.38135185989
resnet50,16,GPU,4,93.9572800954,1.73627039456,375.829120382,6.94508157824
resnet50,16,GPU,4,90.2403629927,1.84055522168,360.961451971,7.36222088674
resnet50,16,GPU,8,106.711873206,2.34258554575,853.694985648,18.740684366
resnet50,16,GPU,4,92.2135043047,1.84478814731,368.854017219,7.37915258926
resnet50,16,GPU,8,117.272837869,5.80151452713,938.182702951,46.4121162171
resnet50,16,GPU,4,93.815303501,0.801266631745,375.261214004,3.20506652698
resnet50,16,GPU,8,100.34655911,4.28885292653,802.772472879,34.3108234122
resnet50,16,GPU,4,91.4086782487,2.74214964723,365.634712995,10.9685985889
resnet50,16,GPU,8,117.751135321,2.3920202427,942.009082565,19.1361619416
resnet50,16,GPU,8,113.074746026,2.01514704702,904.59796821,16.1211763761
resnet50,16,GPU,4,90.2820196416,1.38969922547,361.128078566,5.55879690189
resnet50,16,GPU,8,119.64850364,3.5677867881,957.188029123,28.5422943048
resnet50,16,GPU,4,94.8230205288,1.12713896614,379.292082115,4.50855586454
resnet50,16,GPU,8,103.426116331,6.09752127881,827.408930645,48.7801702305
resnet50,16,GPU,4,97.5548579597,1.2041251398,390.219431839,4.8165005592
resnet50,16,GPU,8,119.576226351,2.43444187259,956.609810809,19.4755349807
resnet50,16,GPU,4,88.2871981864,1.11939841681,353.148792745,4.47759366725
resnet50,16,GPU,8,102.500446638,2.37503543855,820.003573106,19.0002835084
resnet50,16,GPU,4,87.989802318,1.80331641018,351.959209272,7.21326564074
resnet50,16,GPU,8,119.933045845,2.68855607404,959.464366761,21.5084485923
resnet50,16,GPU,1,185.827216335,0.306357661706,185.827216335,0.306357661706
resnet50,16,GPU,1,183.413121311,0.20428645812,183.413121311,0.20428645812
resnet50,16,GPU,1,184.816848703,0.419365733896,184.816848703,0.419365733896
resnet50,16,GPU,1,183.528683085,0.347960307843,183.528683085,0.347960307843
resnet50,16,GPU,1,183.876787082,0.406859272167,183.876787082,0.406859272167
resnet50,16,GPU,1,183.429871544,0.206554912281,183.429871544,0.206554912281
resnet50,16,GPU,1,183.895907045,0.450022568064,183.895907045,0.450022568064
resnet50,16,GPU,1,183.13327816,0.309730946688,183.13327816,0.309730946688
resnet50,16,GPU,1,183.261017651,0.140999853653,183.261017651,0.140999853653
resnet50,16,GPU,1,182.968067652,0.153456145669,182.968067652,0.153456145669
